case, max torque roll, max torque pitch, max torque yaw, max unstable torque pitch, max unstable torque yaw, max torque roll prop, max torque pitch prop, max torque yaw prop, max unstable torque pitch prop, max unstable torque yaw prop, max average roll torque all, max average pitch torque all, max average yaw torque all, max roll torque all, max pitch torque all, max yaw torque all
CIV-Fr0-Sf46, 0.00001601, 0.00007376, 0.00003184, 0.00007074, 0.00002222, 0.00001637, 0.00007695, 0.00002907, 0.00007392, 0.00001945, 0.00000030, 0.00000030, 0.00000004, 0.00032579, 0.00048040, 0.00008100 
CIV-Fr30-Sf46, 0.00001695, 0.00008237, 0.00002690, 0.00007681, 0.00001944, 0.00001731, 0.00008603, 0.00002414, 0.00008019, 0.00001668, 0.00000034, 0.00000027, 0.00000004, 0.00036065, 0.00044391, 0.00008567 
CIV-Fr60-Sf46, 0.00001696, 0.00008273, 0.00002158, 0.00008108, 0.00001801, 0.00001733, 0.00008643, 0.00001882, 0.00008477, 0.00001524, 0.00000035, 0.00000021, 0.00000004, 0.00037306, 0.00034621, 0.00008632 
CIV-Fr90-Sf46, 0.00001695, 0.00008362, 0.00002010, 0.00008219, 0.00001788, 0.00001732, 0.00008724, 0.00001734, 0.00008581, 0.00001511, 0.00000035, 0.00000018, 0.00000004, 0.00034497, 0.00022374, 0.00008304 
absolute maximums
0.00001696, 0.00008362, 0.00003184, 0.00008219, 0.00002222, 0.00001733, 0.00008724, 0.00002907, 0.00008581, 0.00001945, 0.00000035, 0.00000030, 0.00000030, 0.00037306, 0.00048040, 0.00008632 
