case, max torque roll, max torque pitch, max torque yaw, max unstable torque pitch, max unstable torque yaw, max torque roll prop, max torque pitch prop, max torque yaw prop, max unstable torque pitch prop, max unstable torque yaw prop
straight_combined_LAMP_0, 0.00001509, 0.00006221, 0.00002297, 0.00005611, 0.00002139, 0.00001549, 0.00007050, 0.00002021, 0.00006076, 0.00001862 
straight_combined_LAMP_30, 0.00001401, 0.00005959, 0.00002067, 0.00006014, 0.00002082, 0.00001437, 0.00006427, 0.00001790, 0.00006487, 0.00001806 
straight_combined_LAMP_60, 0.00001245, 0.00006241, 0.00002013, 0.00006248, 0.00001898, 0.00001281, 0.00006712, 0.00001736, 0.00006725, 0.00001621 
straight_combined_LAMP_90, 0.00001166, 0.00006386, 0.00001993, 0.00006361, 0.00001736, 0.00001202, 0.00006859, 0.00001717, 0.00006837, 0.00001459 
absolute maximums
0.00001509, 0.00006386, 0.00002297, 0.00006361, 0.00002139, 0.00001549, 0.00007050, 0.00002021, 0.00006837, 0.00001862 
