Config,C_BOL_prop,M_prop_bat,V_prop_bat,C_BOL_remain,M_remain_bat,V_remain_bat,M_total,V_total
CI-Br-Sf_0_Folds_per_side1.29Pay_continuous_Trueltan_6,86.27525469551986,0.5751683646367991,0.4108345461691422,72.39741205437457,0.4826494136958305,0.3447495812113075,1.0578177783326295,0.7555841273804498
CI-Br-Sf_0_Folds_per_side1.29Pay_continuous_Trueltan_9,73.10514038799813,0.48736760258665424,0.34811971613332443,114.76257240421654,0.7650838160281103,0.5464884400200788,1.2524514186147644,0.8946081561534032
CI-Br-Sf_0_Folds_per_side1.29Pay_continuous_Trueltan_12,62.09101124444373,0.4139400749629582,0.2956714821163987,132.81520603456497,0.8854347068970998,0.632453362069357,1.299374781860058,0.9281248441857557
CI-Br-Sf_0_Folds_per_side1.3Pay_continuous_Trueltan_6,86.17779050862002,0.5745186033908002,0.4103704309934287,72.39741205437457,0.4826494136958305,0.3447495812113075,1.0571680170866307,0.7551200122047361
CI-Br-Sf_0_Folds_per_side1.3Pay_continuous_Trueltan_9,72.91911798164357,0.48612745321095713,0.34723389515068365,114.76257240421661,0.7650838160281107,0.5464884400200791,1.2512112692390678,0.8937223351707628
CI-Br-Sf_0_Folds_per_side1.3Pay_continuous_Trueltan_12,61.846653396025665,0.4123110226401711,0.2945078733144079,132.82235951280455,0.8854823967520303,0.6324874262514503,1.2977934193922014,0.9269952995658581
CI-Br-Sf_0_Folds_per_side1.31Pay_continuous_Trueltan_6,86.0803263217202,0.5738688421448013,0.4099063158177152,72.39741205437458,0.4826494136958306,0.34474958121130755,1.0565182558406319,0.7546558970290227
CI-Br-Sf_0_Folds_per_side1.31Pay_continuous_Trueltan_9,72.73309557528898,0.4848873038352599,0.3463480741680428,114.76257240421666,0.765083816028111,0.5464884400200793,1.249971119863371,0.8928365141881222
CI-Br-Sf_0_Folds_per_side1.31Pay_continuous_Trueltan_12,61.60229554760761,0.41068197031738407,0.2933442645124172,132.8326757383101,0.8855511715887339,0.6325365511348099,1.296233141906118,0.9258808156472271
CI-Br-Sf_0_Folds_per_side1.4Pay_continuous_Trueltan_6,85.20314863962176,0.5680209909308117,0.4057292792362941,72.39741205437457,0.4826494136958305,0.3447495812113075,1.0506704046266422,0.7504788604476016
CI-Br-Sf_0_Folds_per_side1.4Pay_continuous_Trueltan_9,71.05889391809787,0.47372595945398577,0.33837568532427553,114.76257240421705,0.7650838160281137,0.5464884400200812,1.2388097754820995,0.8848641253443568
CI-Br-Sf_0_Folds_per_side1.4Pay_continuous_Trueltan_12,59.676870748299315,0.3978458049886621,0.2841755749919015,132.94536137199051,0.8863024091466034,0.633073149390431,1.2841482141352656,0.9172487243823325
CI-Br-Sf_i_Folds_per_side1.29Pay_continuous_Trueltan_6,67.37356361768894,0.449157090784593,0.3208264934175664,72.3974120543745,0.48264941369583,0.3447495812113071,0.9318065044804229,0.6655760746288735
CI-Br-Sf_i_Folds_per_side1.29Pay_continuous_Trueltan_9,66.810902357205,0.44540601571469995,0.31814715408192856,114.76257240421802,0.7650838160281201,0.5464884400200858,1.21048983174282,0.8646355941020143
CI-Br-Sf_i_Folds_per_side1.29Pay_continuous_Trueltan_12,62.09091177204983,0.4139394118136655,0.2956710084383325,132.81522930143797,0.8854348620095864,0.6324534728639903,1.2993742738232519,0.9281244813023228
CI-Br-Sf_i_Folds_per_side1.3Pay_continuous_Trueltan_6,67.12957469375166,0.44753049795834443,0.31966464139881745,72.3974120543745,0.48264941369583,0.3447495812113071,0.9301799116541745,0.6644142226101246
CI-Br-Sf_i_Folds_per_side1.3Pay_continuous_Trueltan_9,66.57608740797605,0.44384058271984034,0.3170289876570288,114.76257240421808,0.7650838160281205,0.5464884400200861,1.2089243987479608,0.8635174276771149
CI-Br-Sf_i_Folds_per_side1.3Pay_continuous_Trueltan_12,61.846553152527946,0.4123103543501863,0.29450739596441877,132.82238288588064,0.8854825525725376,0.6324875375518126,1.2977929069227239,0.9269949335162314
CI-Br-Sf_i_Folds_per_side1.31Pay_continuous_Trueltan_6,66.8855857698144,0.445903905132096,0.31850278938006854,72.3974120543745,0.48264941369583,0.3447495812113071,0.928553318827926,0.6632523705913757
CI-Br-Sf_i_Folds_per_side1.31Pay_continuous_Trueltan_9,66.34127245874713,0.44227514972498083,0.31591082123212916,114.76257240421812,0.7650838160281208,0.5464884400200862,1.2073589657531016,0.8623992612522153
CI-Br-Sf_i_Folds_per_side1.31Pay_continuous_Trueltan_12,61.60219453300606,0.41068129688670707,0.29334378349050505,132.83269929000744,0.8855513286000496,0.6325366632857498,1.2962326254867567,0.9258804467762548
CI-Br-Sf_i_Folds_per_side1.4Pay_continuous_Trueltan_6,64.68968545437892,0.43126456969585947,0.3080461212113282,72.39741205437447,0.4826494136958298,0.344749581211307,0.9139139833916893,0.6527957024226352
CI-Br-Sf_i_Folds_per_side1.4Pay_continuous_Trueltan_9,64.22793791568671,0.4281862527712447,0.30584732340803195,114.76257240421862,0.7650838160281241,0.5464884400200887,1.193270068799369,0.8523357634281206
CI-Br-Sf_i_Folds_per_side1.4Pay_continuous_Trueltan_12,59.676870748299315,0.3978458049886621,0.2841755749919015,132.94534270672156,0.8863022847114771,0.6330730605081979,1.2841480897001392,0.9172486355000994
CIII-Bfh_i-Sf_0_Folds_per_side1.29Pay_continuous_Trueltan_6,87.75419319325628,0.5850279546217085,0.41787711044407755,72.39741205437458,0.4826494136958306,0.34474958121130755,1.0676773683175391,0.7626266916553851
