Config,C_BOL_prop,M_prop_bat,V_prop_bat,C_BOL_remain,M_remain_bat,V_remain_bat,M_total,V_total
CI-Br-Sf_0_Folds_per_side1.5Pay_continuous_Trueltan_6,79.51765799181302,0.5301177199454201,0.3786555142467286,63.99151981747323,0.4266101321164882,0.3047215229403487,0.9567278520619084,0.6833770371870773
CI-Br-Sf_0_Folds_per_side1.5Pay_continuous_Trueltan_9,67.38842348289641,0.4492561565526428,0.3208972546804591,116.57077040945,0.7771384693963332,0.5550989067116666,1.226394625948976,0.8759961613921257
CI-Br-Sf_0_Folds_per_side1.5Pay_continuous_Trueltan_12,57.9799397078234,0.3865329313854893,0.2760949509896352,158.6945114387144,1.0579634095914292,0.7556881497081638,1.4444963409769185,1.0317831006977989
CI-Br-Sf_i_Folds_per_side1.5Pay_continuous_Trueltan_6,58.20096170139405,0.388006411342627,0.277147436673305,64.01274228107923,0.4267516152071948,0.3048225822908534,0.8147580265498218,0.5819700189641585
CI-Br-Sf_i_Folds_per_side1.5Pay_continuous_Trueltan_9,60.3139420415793,0.402092946943862,0.2872092478170443,116.57077040944668,0.7771384693963111,0.5550989067116507,1.1792314163401731,0.842308154528695
CI-Br-Sf_i_Folds_per_side1.5Pay_continuous_Trueltan_12,57.979824186074055,0.3865321612404937,0.2760944008860669,158.69453782557,1.0579635855038,0.7556882753598572,1.4444957467442936,1.031782676245924
CIII-Bfh_i-Sf_0_Folds_per_side1.5Pay_continuous_Trueltan_6,80.96318551950716,0.5397545701300478,0.3855389786643198,63.99151981747336,0.426610132116489,0.3047215229403493,0.9663647022465368,0.6902605016046692
CIII-Bfh_i-Sf_0_Folds_per_side1.5Pay_continuous_Trueltan_9,69.59902673284273,0.4639935115522848,0.3314239368230606,117.4940044171254,0.7832933627808359,0.5594952591291685,1.247286874333121,0.8909191959522291
CIII-Bfh_i-Sf_0_Folds_per_side1.5Pay_continuous_Trueltan_12,57.96201814058957,0.3864134542705971,0.2760096101932837,167.76050687143606,1.118403379142907,0.7988595565306479,1.5048168334135044,1.0748691667239316
CIII-Bfh_i-Sf_i_Folds_per_side1.5Pay_continuous_Trueltan_6,59.64648922908819,0.3976432615272546,0.2840309010908961,63.99151981747161,0.4266101321164774,0.304721522940341,0.824253393643732,0.5887524240312372
CIII-Bfh_i-Sf_i_Folds_per_side1.5Pay_continuous_Trueltan_9,62.52454529152559,0.4168303019435039,0.2977359299596456,116.57077040944768,0.7771384693963179,0.5550989067116556,1.193968771339822,0.8528348366713012
CIII-Bfh_i-Sf_i_Folds_per_side1.5Pay_continuous_Trueltan_12,57.96201814058957,0.3864134542705971,0.2760096101932837,167.7604846019827,1.1184032306798848,0.798859450485632,1.504816684950482,1.0748690606789155
CIII-Bfv_i-Sf_0_Folds_per_side1.5Pay_continuous_Trueltan_6,80.96318551950716,0.5397545701300478,0.3855389786643198,63.99151981747336,0.426610132116489,0.3047215229403493,0.9663647022465368,0.6902605016046692
CIII-Bfv_i-Sf_0_Folds_per_side1.5Pay_continuous_Trueltan_9,69.59902673284273,0.4639935115522848,0.3314239368230606,117.4940044171254,0.7832933627808359,0.5594952591291685,1.247286874333121,0.8909191959522291
CIII-Bfv_i-Sf_0_Folds_per_side1.5Pay_continuous_Trueltan_12,57.96201814058957,0.3864134542705971,0.2760096101932837,167.76050687143606,1.118403379142907,0.7988595565306479,1.5048168334135044,1.0748691667239316
CIII-Bfv_i-Sf_i_Folds_per_side1.5Pay_continuous_Trueltan_6,59.64648922908819,0.3976432615272546,0.2840309010908961,63.99151981747161,0.4266101321164774,0.304721522940341,0.824253393643732,0.5887524240312372
CIII-Bfv_i-Sf_i_Folds_per_side1.5Pay_continuous_Trueltan_9,62.52454529152559,0.4168303019435039,0.2977359299596456,116.57077040944768,0.7771384693963179,0.5550989067116556,1.193968771339822,0.8528348366713012
CIII-Bfv_i-Sf_i_Folds_per_side1.5Pay_continuous_Trueltan_12,57.96201814058957,0.3864134542705971,0.2760096101932837,167.7604846019827,1.1184032306798848,0.798859450485632,1.504816684950482,1.0748690606789155
CIV-Fr-Sf_i_Folds_per_side1.5Pay_continuous_Trueltan_6,58.20096170139405,0.388006411342627,0.277147436673305,64.01274228107923,0.4267516152071948,0.3048225822908534,0.8147580265498218,0.5819700189641585
CIV-Fr-Sf_i_Folds_per_side1.5Pay_continuous_Trueltan_9,60.3139420415793,0.402092946943862,0.2872092478170443,116.57077040944668,0.7771384693963111,0.5550989067116507,1.1792314163401731,0.842308154528695
CIV-Fr-Sf_i_Folds_per_side1.5Pay_continuous_Trueltan_12,57.979824186074055,0.3865321612404937,0.2760944008860669,158.69453782557,1.0579635855038,0.7556882753598572,1.4444957467442936,1.031782676245924
CIV-Ffh_i-Sf_i_Folds_per_side1.5Pay_continuous_Trueltan_6,59.64648922908819,0.3976432615272546,0.2840309010908961,63.99151981747161,0.4266101321164774,0.304721522940341,0.824253393643732,0.5887524240312372
CIV-Ffh_i-Sf_i_Folds_per_side1.5Pay_continuous_Trueltan_9,62.52454529152559,0.4168303019435039,0.2977359299596456,116.57077040944768,0.7771384693963179,0.5550989067116556,1.193968771339822,0.8528348366713012
CIV-Ffh_i-Sf_i_Folds_per_side1.5Pay_continuous_Trueltan_12,57.96201814058957,0.3864134542705971,0.2760096101932837,167.7604846019827,1.1184032306798848,0.798859450485632,1.504816684950482,1.0748690606789155
