,t,x,y,z,v_x,v_y,v_z,m,SMA,Eclipse,Sun multiplier,SP angle,Thrust,f_aero,third panel,eff_f_side,eff_r_side,eff_r_back
0,0,4717674.444805139,4717674.815566899,2721.6534618184105,-2.7560526884817156,-1.7030986208691103,7729.427310261187,53.099999999999994,6671799.996083664,1,0.0008699998902495042,0.7853982858974486,0,0.0003421081320355617,0,0,0,0
1,1,4717668.522784183,4717669.9464995265,10451.077213353754,-9.087987897313106,-8.035035034828272,7729.418463771273,53.099999999999994,6671799.98496137,1,0.0008699998902495042,0.7853995411801705,0,0.00034210776889459754,0,0,0,0
2,2,4717656.268833412,4717658.745500427,18180.48693128718,-15.4199109032135,-14.366960659101903,7729.399243060504,53.099999999999994,6671799.973839095,1,0.0008699998902495042,0.7854021386284191,0,0.0003421069802623304,0,0,0,0
3,3,4717637.682969277,4717641.212584638,25909.87224140959,-21.75181320764624,-20.69886699514982,7729.369648154693,53.099999999999994,6671799.962716851,1,0.0008699998902495042,0.7854060782282465,0,0.0003421057661459627,0,0,0,0
4,4,4717612.76521673,4717617.347775699,33639.22276954464,-28.083686312102518,-27.030745544457805,7729.329679093578,53.099999999999994,6671799.951594655,1,0.0008699998902495042,0.7854113599584994,0,0.0003421041265564683,0,0,0,0
5,5,4717581.515609219,4717587.151105644,41368.52814156271,-34.41552171811279,-33.36258780854901,7729.2793359308225,53.099999999999994,6671799.940472521,1,0.0008699998902495042,0.7854179837908201,0,0.00034210206150866963,0,0,0,0
6,6,4717543.934188692,4717550.62261501,49097.77798339478,-40.747310927258184,-39.694385288995335,7729.218618734011,53.099999999999994,6671799.929350463,1,0.0008699998902495042,0.7854259496896471,0,0.0003420995710211953,0,0,0,0
7,7,4717500.021005596,4717507.762352827,56826.96192104639,-47.07904544118188,-46.02612948742888,7729.147527584653,53.099999999999994,6671799.918228487,1,0.0008699998902495042,0.785435257612215,0,0.0003420966551164655,0,0,0,0
8,8,4717449.776118875,4717458.570376628,64556.06958061156,-53.41071676160056,-52.35781190555332,7729.066062578183,53.099999999999994,6671799.907106614,1,0.0008699998902495042,0.7854459075085581,0,0.000342093313820756,0,0,0,0
9,9,4717393.19959597,4717403.046752442,72285.0905882867,-59.742316390315786,-58.689424045155306,7728.974223823956,53.099999999999994,6671799.89598486,1,0.0008699998902495042,0.785457899321509,0,0.000342089547164119,0,0,0,0
