,t,x,y,z,v_x,v_y,v_z,m,SMA,Eclipse,Sun multiplier,SP angle,Thrust,f_aero,third panel,eff_side,eff_back
12,12,4717176.817385329,4717207.150366668,95471.52996152047,-78.73645746959345,-77.68389841807436,7728.636466013885,53.099999999999994,6671799.861993246,1,0.0008699998902495042,0.7855037618068699,0,0.0003436373443846544,0,0,0
13,13,4717094.915310572,4717126.30083037,103200.10062575672,-85.0676737233025,-84.01515609114325,7728.5031336112625,53.099999999999994,6671799.850821318,1,0.0008699998902495042,0.7855211205072838,0,0.00034363185169730795,0,0,0
14,14,4717006.682075943,4717039.120092074,110928.5327710788,-91.39877579617144,-90.34630099603328,7728.359428216516,53.099999999999994,6671799.839649578,1,0.0008699998902495042,0.7855398207255941,0,0.0003436259319156195,0,0,0
15,15,4716912.1177998725,4716945.608268799,118656.81602458985,-97.72975519076626,-96.67732463525294,7728.205350022538,53.099999999999994,6671799.82847804,1,0.0008699998902495042,0.7855598623614676,0,0.0003436195850927818,0,0,0
16,16,4716811.222609287,4716845.765486058,126384.9400135929,-104.06060340981769,-103.00821851147361,7728.040899236147,53.099999999999994,6671799.817306711,1,0.0008699998902495042,0.7855812453073848,0,0.00034361281128575773,0,0,0
17,17,4716703.99663961,4716739.591877863,134112.89436560476,-110.3913119562326,-109.33897412754087,7727.8660760780795,53.099999999999994,6671799.806135609,1,0.0008699998902495042,0.785603969448643,0,0.0003436056105554259,0,0,0
18,18,4716590.440034764,4716627.087586722,141840.6687083699,-116.72187233310538,-115.6695829864859,7727.680880782996,53.099999999999994,6671799.794964749,1,0.0008699998902495042,0.7856280346633577,0,0.0003435979829663773,0,0,0
19,19,4716470.552947166,4716508.252763641,149568.25266987443,-123.05227604372936,-122.000036591537,7727.485313599475,53.099999999999994,6671799.783794144,1,0.0008699998902495042,0.7856534408224677,0,0.0003435899285871173,0,0,0
20,20,4716344.335537731,4716383.087568122,157295.63587836004,-129.38251459160824,-128.33032644613084,7727.2793747900205,53.099999999999994,6671799.772623808,1,0.0008699998902495042,0.7856801877897368,0,0.0003435814474899315,0,0,0
21,21,4716211.787975869,4716251.592168164,165022.80796233783,-135.7125794804674,-134.660444053924,7727.063064631054,53.099999999999994,6671799.761453757,1,0.0008699998902495042,0.7857082754217575,0,0.0003435725397509203,0,0,0
22,22,4716072.9104394885,4716113.7667402625,172749.75855060227,-142.04246221426544,-140.9903809188043,7726.836383412917,53.099999999999994,6671799.750284005,1,0.0008699998902495042,0.785737703567956,0,0.00034356320545000414,0,0,0
23,23,4715927.703114991,4715969.611469407,180476.4772722452,-148.37215429720547,-147.3201285449022,7726.599331439871,53.099999999999994,6671799.739114559,1,0.0008699998902495042,0.7857684720705937,0,0.000343553444670965,0,0,0
