,t,x,y,z,v_x,v_y,v_z,m,SMA,Eclipse,Sun multiplier,SP angle,Thrust,f_aero,third panel,eff_f_side,eff_r_side,eff_back
0,0,4717665.780303576,4717683.480051865,2721.653461358033,-2.7560495601766997,-1.7031036822704544,7729.427310144389,50.5,6671799.995882026,1,0.0008699998902495042,0.7854001224996948,0,0.00034210813202523643,0,0,0,0
1,1,4717659.858291564,4717678.610973616,10451.077212610728,-9.0879731394927,-8.035051725258352,7729.418463322772,50.5,6671799.984187098,1,0.0008699998902495042,0.7854013777782155,0,0.00034210776885492354,0,0,0,0
2,2,4717647.604361365,4717667.409952011,18180.486929929808,-15.419884515625794,-14.366988978266573,7729.399242280302,50.5,6671799.972492196,1,0.0008699998902495042,0.7854039752173327,0,0.00034210698019329427,0,0,0,0
3,3,4717629.018529433,4717649.877002089,25909.872239106164,-21.751775190054943,-20.698906942739345,7729.369647042793,50.5,6671799.960797322,1,0.0008699998902495042,0.7854079148030985,0,0.00034210576604758544,0,0,0,0
4,4,4717604.100820718,4717626.012147388,33639.222765963474,-28.08363666428696,-27.03079712014685,7729.329677649985,50.5,6671799.949102498,1,0.0008699998902495042,0.7854131965143594,0,0.0003421041264287787,0,0,0,0
5,5,4717572.8512686705,4717595.815419944,41368.5281363721,-34.415460439867914,-33.36265101199663,7729.279334155541,50.5,6671799.937407737,1,0.0008699998902495042,0.7854198203227578,0,0.00034210206135168946,0,0,0,0
6,6,4717535.269915237,4717559.286860292,49097.777976263045,-40.74723801839456,-39.69446011984502,7729.218616627048,50.5,6671799.925713052,1,0.0008699998902495042,0.7854277861927326,0,0.0003420995708349534,0,0,0,0
7,7,4717491.356810865,4717516.426517465,56826.96191164186,-47.078960901525726,-46.02621594530852,7729.147525146017,50.5,6671799.914018463,1,0.0008699998902495042,0.7854370940815188,0,0.00034209665490100556,0,0,0,0
8,8,4717441.112014499,4717467.2344489945,64556.06956860256,-53.410620590993716,-52.35790999007523,7729.066059807883,50.5,6671799.902323981,1,0.0008699998902495042,0.7854477439391505,0,0.000342093313576114,0,0,0,0
9,9,4717384.53559358,4717411.710720911,72285.09057334156,-59.74220858861573,-58.68953375591622,7728.974220722003,50.5,6671799.890629616,1,0.0008699998902495042,0.7854597357084606,0,0.0003420895468903595,0,0,0,0
10,10,4717321.627624052,4717349.855407742,80014.01455217159,-66.07371639630526,-65.021078744697,7728.87200801166,50.5,6671799.878935394,1,0.0008699998902495042,0.7854730693250838,0,0.00034208535487758603,0,0,0,0
11,11,4717252.3881903505,4717281.668592514,87742.83113153564,-72.4051355160835,-71.35253645838883,7728.7594218140575,50.5,6671799.867241317,1,0.0008699998902495042,0.7854877447174562,0,0.0003420807375755327,0,0,0,0
12,12,4717176.817385415,4717207.15036675,95471.52993802085,-78.73645745009077,-77.68389839908022,7728.636462280323,50.5,6671799.8555474095,1,0.0008699998902495042,0.785503761806819,0,0.0003420756950256863,0,0,0,0
13,13,4717094.915310678,4717126.300830472,103200.10059837243,-85.06767370059785,-84.01515606898829,7728.503129575507,50.5,6671799.843853679,1,0.0008699998902495042,0.7855211205072202,0,0.0003420702272733727,0,0,0,0
