,t,x,y,z,v_x,v_y,v_z,m,SMA,Eclipse,Sun multiplier,SP angle,Thrust,f_aero,third panel,eff_f_side,eff_r_side,eff_back
0,0,4717665.780303576,4717683.480051865,2721.6534613580093,-2.7560495601766712,-1.7031036822704437,7729.427310144251,50.5,6671799.995881788,1,0.0008699998902495042,0.7854001224996948,0,0.00034212764911185586,0,0,0,0
1,1,4717659.858291564,4717678.610973616,10451.077212610371,-9.087973139492373,-8.035051725258096,7729.4184633222485,50.5,6671799.984186194,1,0.0008699998902495042,0.7854013777782155,0,0.00034212728592079,0,0,0,0
2,2,4717647.604361365,4717667.409952011,18180.486929928735,-15.419884515624853,-14.36698897826576,7729.399242279392,50.5,6671799.972490624,1,0.0008699998902495042,0.7854039752173327,0,0.00034212649721413374,0,0,0,0
3,3,4717629.018529433,4717649.877002089,25909.87223910399,-21.751775190053074,-20.698906942737658,7729.369647041496,50.5,6671799.960795083,1,0.0008699998902495042,0.7854079148030985,0,0.0003421252829991244,0,0,0,0
4,4,4717604.100820718,4717626.012147388,33639.22276595981,-28.083636664283844,-27.030797120143973,7729.329677648301,50.5,6671799.949099591,1,0.0008699998902495042,0.7854131965143594,0,0.0003421236432867441,0,0,0,0
5,5,4717572.8512686705,4717595.815419944,41368.528136366556,-34.41546043986324,-33.36265101199224,7729.279334153471,50.5,6671799.937404163,1,0.0008699998902495042,0.7854198203227578,0,0.00034212157809180904,0,0,0,0
6,6,4717535.269915237,4717559.286860292,49097.77797625524,-40.747238018388,-39.6944601198388,7729.218616624591,50.5,6671799.925708811,1,0.0008699998902495042,0.7854277861927326,0,0.0003421190874329561,0,0,0,0
7,7,4717491.356810865,4717516.426517465,56826.9619116314,-47.07896090151697,-46.02621594530016,7729.147525143174,50.5,6671799.914013555,1,0.0008699998902495042,0.7854370940815188,0,0.00034211617133262154,0,0,0,0
8,8,4717441.112014499,4717467.234448995,64556.06956858906,-53.41062059098245,-52.35790999006441,7729.066059804653,50.5,6671799.902318406,1,0.0008699998902495042,0.7854477439391505,0,0.00034211282981707497,0,0,0,0
9,9,4717384.53559358,4717411.710720912,72285.09057332463,-59.74220858860163,-58.68953375590262,7728.974220718388,50.5,6671799.890623379,1,0.0008699998902495042,0.7854597357084606,0,0.0003421090629163851,0,0,0,0
10,10,4717321.627624052,4717349.855407743,80014.01455215085,-66.073716396288,-65.0210787446803,7728.872008007658,50.5,6671799.878928486,1,0.0008699998902495042,0.7854730693250839,0,0.00034210487066443923,0,0,0,0
11,11,4717252.3881903505,4717281.6685925145,87742.8311315107,-72.40513551606278,-71.35253645836872,7728.759421809669,50.5,6671799.867233746,1,0.0008699998902495042,0.7854877447174562,0,0.000342100253098923,0,0,0,0
12,12,4717176.817385415,4717207.150366751,95471.52993799132,-78.73645745006627,-77.68389839905639,7728.636462275548,50.5,6671799.855539168,1,0.0008699998902495042,0.785503761806819,0,0.0003420952102613747,0,0,0,0
13,13,4717094.915310678,4717126.300830473,103200.10059833794,-85.06767370056926,-84.01515606896042,7728.503129570346,50.5,6671799.843844767,1,0.0008699998902495042,0.7855211205072201,0,0.00034208974219710825,0,0,0,0
14,14,4717006.682076073,4717039.120092202,110928.53273946782,-91.3987757699845,-90.34630097043795,7728.359423873035,50.5,6671799.832150565,1,0.0008699998902495042,0.7855398207255151,0,0.0003420838489552271,0,0,0,0
15,15,4716912.117800031,4716945.608268954,118656.81598848412,-97.72975516087804,-96.67732460599755,7728.205345376511,50.5,6671799.820456571,1,0.0008699998902495042,0.7855598623613708,0,0.0003420775305886994,0,0,0,0
16,16,4716811.222609477,4716845.765486244,126384.93997268988,-104.06060337598068,-103.00821847831062,7728.040894287592,50.5,6671799.808762803,1,0.0008699998902495042,0.7855812453072682,0,0.0003420707871542467,0,0,0,0
17,17,4716703.996639837,4716739.5918780845,134112.89431960194,-110.3913119181993,-109.33897409022279,7727.866070827015,50.5,6671799.79706927,1,0.0008699998902495042,0.7856039694485039,0,0.0003420636187124393,0,0,0,0
18,18,4716590.44003503,4716627.087586983,141840.6686569648,-116.7218722906284,-115.66958294476534,7727.680875229443,50.5,6671799.785375988,1,0.0008699998902495042,0.7856280346631935,0,0.00034205602532764854,0,0,0,0
19,19,4716470.552947477,4716508.252763947,149568.25261276454,-123.05227599656135,-122.00003654516658,7727.485307743456,50.5,6671799.773682973,1,0.0008699998902495042,0.7856534408222754,0,0.0003420480070680306,0,0,0,0
20,20,4716344.335538092,4716383.087568477,157295.6358152429,-129.3825145395019,-128.3303263948633,7727.279368631558,50.5,6671799.761990244,1,0.0008699998902495042,0.7856801877895131,0,0.00034203956400555383,0,0,0,0
