case, max torque roll, max torque pitch, max torque yaw, max unstable torque pitch, max unstable torque yaw, max torque roll prop, max torque pitch prop, max torque yaw prop, max unstable torque pitch prop, max unstable torque yaw prop, max average roll torque all, max average pitch torque all, max average yaw torque all, max roll torque all, max pitch torque all, max yaw torque all
CIV-Fr0-Sf61, 0.00001537, 0.00007514, 0.00003160, 0.00007217, 0.00002139, 0.00001573, 0.00007832, 0.00002883, 0.00007532, 0.00001863, 0.00000027, 0.00000030, 0.00000004, 0.00030312, 0.00047832, 0.00006959 
CIV-Fr30-Sf61, 0.00001630, 0.00008376, 0.00002666, 0.00007824, 0.00001862, 0.00001666, 0.00008740, 0.00002390, 0.00008159, 0.00001585, 0.00000031, 0.00000027, 0.00000003, 0.00034962, 0.00044105, 0.00007576 
CIV-Fr60-Sf61, 0.00001632, 0.00008412, 0.00002134, 0.00008251, 0.00001718, 0.00001668, 0.00008779, 0.00001858, 0.00008617, 0.00001442, 0.00000033, 0.00000021, 0.00000003, 0.00037024, 0.00034728, 0.00007471 
CIV-Fr90-Sf61, 0.00001631, 0.00008501, 0.00001975, 0.00008362, 0.00001705, 0.00001667, 0.00008861, 0.00001698, 0.00008721, 0.00001429, 0.00000033, 0.00000018, 0.00000003, 0.00035092, 0.00022733, 0.00007390 
absolute maximums
0.00001632, 0.00008501, 0.00003160, 0.00008362, 0.00002139, 0.00001668, 0.00008861, 0.00002883, 0.00008721, 0.00001863, 0.00000033, 0.00000030, 0.00000030, 0.00037024, 0.00047832, 0.00007576 
