case, max torque roll, max torque pitch, max torque yaw, max unstable torque pitch, max unstable torque yaw, max torque roll prop, max torque pitch prop, max torque yaw prop, max unstable torque pitch prop, max unstable torque yaw prop, max average roll torque all, max average pitch torque all, max average yaw torque all, max roll torque all, max pitch torque all, max yaw torque all
CIII-Bfh0-Sf0, 0.00001482, 0.00007701, 0.00002278, 0.00007444, 0.00002192, 0.00001518, 0.00034907, 0.00002001, 0.00034667, 0.00001916, 0.00000034, 0.00000001, 0.00000017, 0.00031469, 0.00006856, 0.00018134 
CIII-Bfh12-Sf12, 0.00001495, 0.00007693, 0.00002813, 0.00007644, 0.00002256, 0.00001531, 0.00034905, 0.00002537, 0.00034852, 0.00001980, 0.00000035, 0.00000002, 0.00000017, 0.00033901, 0.00007311, 0.00021737 
absolute maximums
0.00001495, 0.00007701, 0.00002813, 0.00007644, 0.00002256, 0.00001531, 0.00034907, 0.00002537, 0.00034852, 0.00001980, 0.00000035, 0.00000002, 0.00000002, 0.00033901, 0.00007311, 0.00021737 
