case, max torque roll, max torque pitch, max torque yaw, max unstable torque pitch, max unstable torque yaw, max torque roll prop, max torque pitch prop, max torque yaw prop, max unstable torque pitch prop, max unstable torque yaw prop, max average roll torque all, max average pitch torque all, max average yaw torque all, max roll torque all, max pitch torque all, max yaw torque all
CIV-Ffh0-Sf0, 0.00001426, 0.00007711, 0.00002290, 0.00007671, 0.00002376, 0.00001462, 0.00034905, 0.00002014, 0.00034873, 0.00002100, 0.00000029, 0.00000031, 0.00000004, 0.00026768, 0.00046933, 0.00010634 
CIV-Ffh12-Sf12, 0.00001357, 0.00007744, 0.00002731, 0.00007740, 0.00002317, 0.00001393, 0.00034936, 0.00002455, 0.00034957, 0.00002040, 0.00000027, 0.00000030, 0.00000004, 0.00026709, 0.00045335, 0.00011060 
absolute maximums
0.00001426, 0.00007744, 0.00002731, 0.00007740, 0.00002376, 0.00001462, 0.00034936, 0.00002455, 0.00034957, 0.00002100, 0.00000029, 0.00000031, 0.00000031, 0.00026768, 0.00046933, 0.00011060 
