case, max torque roll, max torque pitch, max torque yaw, max unstable torque pitch, max unstable torque yaw, max torque roll prop, max torque pitch prop, max torque yaw prop, max unstable torque pitch prop, max unstable torque yaw prop, max average roll torque all, max average pitch torque all, max average yaw torque all, max roll torque all, max pitch torque all, max yaw torque all
CIII-Bfv46-Sf46, 0.00001330, 0.00006137, 0.00002503, 0.00006107, 0.00001731, 0.00001366, 0.00006680, 0.00002227, 0.00006655, 0.00001454, 0.00000018, 0.00000004, 0.00000023, 0.00014315, 0.00006478, 0.00037849 
CIII-Bfv61-Sf61, 0.00001294, 0.00006186, 0.00002509, 0.00006155, 0.00001745, 0.00001330, 0.00006730, 0.00002232, 0.00006701, 0.00001468, 0.00000018, 0.00000004, 0.00000026, 0.00015142, 0.00007125, 0.00041486 
CIII-Bfv72-Sf72, 0.00001263, 0.00006215, 0.00002448, 0.00006186, 0.00001748, 0.00001299, 0.00006760, 0.00002171, 0.00006731, 0.00001472, 0.00000017, 0.00000004, 0.00000028, 0.00015490, 0.00007176, 0.00044294 
CIII-Bfv80-Sf80, 0.00001239, 0.00006220, 0.00002368, 0.00006195, 0.00001749, 0.00001276, 0.00006764, 0.00002092, 0.00006741, 0.00001472, 0.00000016, 0.00000004, 0.00000029, 0.00016105, 0.00007247, 0.00045721 
CIII-Bfv83-Sf83, 0.00001231, 0.00006220, 0.00002335, 0.00006195, 0.00001749, 0.00001267, 0.00006761, 0.00002058, 0.00006740, 0.00001473, 0.00000016, 0.00000004, 0.00000029, 0.00016276, 0.00007257, 0.00045991 
absolute maximums
0.00001330, 0.00006220, 0.00002509, 0.00006195, 0.00001749, 0.00001366, 0.00006764, 0.00002232, 0.00006741, 0.00001473, 0.00000018, 0.00000004, 0.00000004, 0.00016276, 0.00007257, 0.00045991 
